Date,STI_Y,SGDUSD,BARCLAY,CRUDEPETROLEUM,DOW,EAFE,SGDEURO,SGDHKD,SGDIDR,SGDJPY,SGDMYR,GOLD_PRICE,NASDAQ,SP500,WILSHIRE5000
5/22/2015,0.861220853,0.189944134,0.908670217,0.667529854,0.185141125,0.526057755,0.77979798,0.706332212,0.888373392,0.90060353,0.801215706,0.245639341,0.148192731,0.190730098,0.238934717
5/26/2015,0.869458501,0.235963687,0.876741761,0.633864479,0.171428852,0.484038272,0.840522876,0.659070052,0.873971113,0.897879875,0.79776573,0.218274801,0.13799338,0.176690839,0.224736392
5/27/2015,0.840004707,0.285405028,0.89307723,0.623505894,0.180171856,0.506425605,0.863339275,0.614255124,0.884456211,0.930299628,0.804665681,0.216194585,0.151297042,0.189073089,0.237241127
5/28/2015,0.833977775,0.299650838,0.892334835,0.626892388,0.177517587,0.502292353,0.840285205,0.604925054,0.881009386,0.951503656,0.804460325,0.219715072,0.14974581,0.187345523,0.235247765
5/29/2015,0.812408587,0.280586592,0.892334835,0.679083598,0.169207354,0.479904702,0.810814023,0.617925971,0.878449203,0.964642684,0.808937079,0.221795482,0.144710047,0.178739521,0.22696015
6/2/2015,0.769236589,0.335893855,0.888622079,0.698207082,0.169298041,0.484382232,0.793939394,0.570663812,0.880584264,0.976659936,0.814070971,0.22931661,0.145879387,0.180158986,0.229039865
6/3/2015,0.776877427,0.280935754,0.8967899,0.665936189,0.173929023,0.497125709,0.674985146,0.620373203,0.885758875,0.973027986,0.81620667,0.214274161,0.149971021,0.183029743,0.233114664
6/4/2015,0.772809038,0.249301676,0.876741761,0.633266889,0.161641463,0.472327551,0.62436126,0.647598654,0.888889068,1,0.821176277,0.198591766,0.142744462,0.171321868,0.220791244
6/5/2015,0.763285308,0.279469274,0.873029005,0.655776867,0.157601569,0.445117812,0.634224599,0.620679107,0.894814622,0.987074934,0.827706588,0.187229986,0.144427213,0.169388744,0.221163469
6/8/2015,0.752072021,0.349860335,0.860406292,0.636055714,0.151633048,0.44201867,0.646226976,0.55429795,0.878485425,0.999038776,0.831320848,0.195871213,0.135989878,0.16068647,0.211742818
6/9/2015,0.730889498,0.319622905,0.858921415,0.675896347,0.151452234,0.429619273,0.551396316,0.581676354,0.888925202,0.974737007,0.829472647,0.202432421,0.134591808,0.16124513,0.211523615
6/10/2015,0.756644756,0.301815642,0.903472584,0.701593576,0.168467369,0.476805241,0.554961378,0.600183542,0.88667264,0.974149387,0.834236898,0.216514559,0.145910002,0.177333071,0.227435088
6/11/2015,0.775053377,0.24650838,0.904215239,0.688446166,0.171272645,0.48300492,0.590255496,0.650810645,0.895348321,0.943652189,0.832552982,0.206593047,0.146958555,0.17968374,0.230129972
6/12/2015,0.780248138,0.258519553,0.911640491,0.67231069,0.161156248,0.464750241,0.626737968,0.638421536,0.895484021,0.965443837,0.836085099,0.204832805,0.141299502,0.170210819,0.221541968
6/15/2015,0.754425634,0.255726257,0.89307723,0.663545771,0.153405326,0.450973571,0.643612597,0.641174671,0.897447161,0.953586762,0.839822573,0.215234471,0.137492549,0.163993902,0.215601613
6/16/2015,0.733377604,0.267946927,0.89307723,0.672509933,0.161562304,0.450284298,0.597979798,0.629703273,0.894832733,0.955723226,0.843724331,0.207553163,0.142101202,0.171610841,0.223211571
6/17/2015,0.756762436,0.24476257,0.894562281,0.671513857,0.163812626,0.445117812,0.639453357,0.651728357,0.896596829,0.967046091,0.840931493,0.20099215,0.143782194,0.174276041,0.225648996
6/18/2015,0.735336146,0.19622905,0.899017346,0.682071685,0.176777603,0.465439037,0.591800357,0.698225757,0.893023403,0.996314693,0.841752916,0.241158545,0.156046364,0.187634496,0.239159577
6/19/2015,0.735790058,0.183868715,0.911640491,0.665338619,0.169586696,0.459928154,0.600831848,0.708779443,0.889422767,0.982107621,0.833292262,0.241158545,0.153172631,0.180409387,0.232499373
6/22/2015,0.747701024,0.183310056,0.938370967,0.666733021,0.177061196,0.502980989,0.604159239,0.708626491,0.883379625,0.972226885,0.847461804,0.212673904,0.159833523,0.188668558,0.240409719
6/23/2015,0.76842123,0.192807263,0.93317368,0.693227003,0.178809853,0.509180549,0.610338681,0.700978893,0.899157012,0.993270362,0.83937079,0.200671982,0.160936091,0.189535477,0.242005024
6/24/2015,0.778129886,0.22674581,0.938370967,0.678486008,0.165996022,0.48920432,0.703980986,0.672223922,0.893738035,0.995193291,0.844093971,0.1949111,0.154147374,0.179503896,0.231061519
6/25/2015,0.776902644,0.243296089,0.936885917,0.667131447,0.160545758,0.488188258,0.666666667,0.652340165,0.892561971,0.984671526,0.843888615,0.193150856,0.152306007,0.17547709,0.226864449
6/26/2015,0.752551149,0.242388268,0.936143521,0.665737025,0.164600134,0.487137893,0.668211527,0.652340165,0.896433918,0.97463024,0.844668967,0.195391253,0.146598216,0.174950415,0.22606083
6/29/2015,0.718322882,0.325628492,0.890107216,0.639840633,0.139380638,0.416389599,0.762091503,0.578005506,0.901608618,0.893446824,0.839165435,0.20435265,0.124610455,0.146788484,0.196390667
6/30/2015,0.749550292,0.270949721,0.885652064,0.662549775,0.141047887,0.408334459,0.632204397,0.627256042,0.89170254,0.923623347,0.846804666,0.193150856,0.129727241,0.15030163,0.200637433
7/1/2015,0.76115865,0.274441341,0.900502483,0.61254974,0.151011028,0.422693984,0.689720737,0.623126338,0.897465272,0.909042617,0.840479711,0.189150215,0.134456681,0.15949185,0.208594399
7/2/2015,0.758384749,0.313896648,0.901245051,0.61195215,0.149009711,0.425495862,0.727866904,0.587335577,0.891349774,0.927682739,0.840069,0.179548678,0.133752191,0.15908089,0.207492238
7/6/2015,0.762671688,0.303561453,0.863376393,0.524302737,0.145660168,0.380315083,0.766963755,0.598654023,0.900143044,0.896544565,0.843601117,0.195391253,0.130640667,0.153930178,0.202415407
7/7/2015,0.769387892,0.291410615,0.852981127,0.520318733,0.152378797,0.381015592,0.737611408,0.608289997,0.894669822,0.910324195,0.859208149,0.162585999,0.131635204,0.162009506,0.21025084
7/8/2015,0.722366054,0.322206704,0.837388226,0.506772918,0.133554686,0.329880842,0.740701129,0.582899969,0.885840331,0.891043043,0.855388533,0.180028833,0.115834334,0.139749726,0.187234485
7/9/2015,0.707580317,0.298673184,0.849268544,0.529282816,0.135944625,0.365254849,0.717290553,0.601254206,0.891123608,0.838220415,0.85095285,0.173147652,0.118111697,0.142723263,0.190869773
7/10/2015,0.718070709,0.289804469,0.901245051,0.528486063,0.151190998,0.436703533,0.730005942,0.607372285,0.888653802,0.874913469,0.847379662,0.171067241,0.131678487,0.15897819,0.207729646
7/13/2015,0.74441437,0.301187151,0.925005773,0.517729072,0.166831756,0.445109445,0.671895425,0.597124503,0.066145388,0.900710298,0.849515361,0.1670666,0.144976694,0.173736667,0.222861364
7/14/2015,0.748852613,0.349162011,0.942826205,0.534462138,0.172295659,0.464022241,0.732144979,0.553227287,0.887613438,0.917855361,0.847379662,0.16402627,0.150990807,0.17974144,0.229538052
